eventLength,eventVersion,eventType,sequence,manufacturer,sw,hw,deviceMajorId,deviceMinorId,battery,wakeTime,imei,cellId,ecl,rssi,rsrp,rsrq,plmn,aux,ns,latitude,ew,longitude,gpsTimestamp,altitude,positionHorizontalError,satellites,hdop,rawEvent,incidenceId,eventDate,isDGTNotificated,manufacturerId,lng,lat,etiqueta,modulo,grupo,color
125,1,2,31,1,11,2,0,0C3B,4.4,51,869154040260940,f98683d,0,-73,-86,23,21401,0,N,41.6434,W,0.76313,2022-02-15T12:05:56Z,224,3,12,0.82,MTI1MDAxMjAzMTAwMDExMTAyMDAwMDBDM0I0NDA1MTg2OTE1NDA0MDI2MDk0MGY5ODY4M2QwIC03MyAtODYgIDIzIDIxNDAxMDAwMDBONDEuNjQzNDAwVzAwMC43NjMxMzAyMDIyMDIxNTEyMDU1NTAyMjQwMzEyMDAuODI=,37932,2022-02-15T12:06:00Z,0,,-0.76313,41.6434,B,LC76F,1,ffffaa00
125,1,1,30,1,11,2,0,0C3B,5.1,50,869154040260940,f98683d,0,-73,-87,25,21401,0,N,41.6434,W,0.76313,2022-02-15T12:04:14Z,224,3,12,0.82,MTI1MDAxMTAzMDAwMDExMTAyMDAwMDBDM0I1MTA1MDg2OTE1NDA0MDI2MDk0MGY5ODY4M2QwIC03MyAtODcgIDI1IDIxNDAxMDAwMDBONDEuNjQzNDAwVzAwMC43NjMxMzAyMDIyMDIxNTEyMDQxNDAyMjQwMzEyMDAuODI=,37932,2022-02-15T12:05:40Z,0,,-0.76313,41.6434,B,LC76F,1,ffffaa00
125,1,1,29,1,11,2,0,0C3B,5.1,49,869154040260940,f98683d,0,-72,-86,25,21401,0,N,41.6434,W,0.76313,2022-02-15T12:02:34Z,224,3,12,0.82,MTI1MDAxMTAyOTAwMDExMTAyMDAwMDBDM0I1MTA0OTg2OTE1NDA0MDI2MDk0MGY5ODY4M2QwIC03MiAtODYgIDI1IDIxNDAxMDAwMDBONDEuNjQzNDAwVzAwMC43NjMxMzAyMDIyMDIxNTEyMDIzNDAyMjQwMzEyMDAuODI=,37932,2022-02-15T12:04:00Z,0,,-0.76313,41.6434,B,LC76F,1,ffffaa00
125,1,1,28,1,11,2,0,0C3B,5.1,47,869154040260940,f98683d,0,-73,-86,28,21401,0,N,41.6434,W,0.76313,2022-02-15T12:00:54Z,224,3,12,0.82,MTI1MDAxMTAyODAwMDExMTAyMDAwMDBDM0I1MTA0Nzg2OTE1NDA0MDI2MDk0MGY5ODY4M2QwIC03MyAtODYgIDI4IDIxNDAxMDAwMDBONDEuNjQzNDAwVzAwMC43NjMxMzAyMDIyMDIxNTEyMDA1MzAyMjQwMzEyMDAuODI=,37932,2022-02-15T12:02:20Z,0,,-0.76313,41.6434,B,LC76F,1,ffffaa00
125,1,1,27,1,11,2,0,0C3B,5.1,45,869154040260940,f98683d,0,-72,-86,29,21401,0,N,41.6434,W,0.76313,2022-02-15T11:59:13Z,224,3,12,0.82,MTI1MDAxMTAyNzAwMDExMTAyMDAwMDBDM0I1MTA0NTg2OTE1NDA0MDI2MDk0MGY5ODY4M2QwIC03MiAtODYgIDI5IDIxNDAxMDAwMDBONDEuNjQzNDAwVzAwMC43NjMxMzAyMDIyMDIxNTExNTkxMzAyMjQwMzEyMDAuODI=,37932,2022-02-15T12:00:38Z,0,,-0.76313,41.6434,B,LC76F,1,ffffaa00
125,1,1,26,1,11,2,0,0C3B,5.1,44,869154040260940,f98683d,0,-72,-86,29,21401,0,N,41.643453,W,0.763152,2022-02-15T11:57:32Z,222,3,12,0.81,MTI1MDAxMTAyNjAwMDExMTAyMDAwMDBDM0I1MTA0NDg2OTE1NDA0MDI2MDk0MGY5ODY4M2QwIC03MiAtODYgIDI5IDIxNDAxMDAwMDBONDEuNjQzNDUzVzAwMC43NjMxNTIyMDIyMDIxNTExNTczMTAyMjIwMzEyMDAuODE=,37932,2022-02-15T11:58:58Z,0,,-0.763152,41.643453,B,LC76F,1,ffffaa00
125,1,1,25,1,11,2,0,0C3B,5.1,42,869154040260940,f98683d,0,-72,-86,29,21401,0,N,41.643453,W,0.763152,2022-02-15T11:55:51Z,222,3,12,0.81,MTI1MDAxMTAyNTAwMDExMTAyMDAwMDBDM0I1MTA0Mjg2OTE1NDA0MDI2MDk0MGY5ODY4M2QwIC03MiAtODYgIDI5IDIxNDAxMDAwMDBONDEuNjQzNDUzVzAwMC43NjMxNTIyMDIyMDIxNTExNTU1MTAyMjIwMzEyMDAuODE=,37932,2022-02-15T11:57:17Z,0,,-0.763152,41.643453,B,LC76F,1,ffffaa00
125,1,1,24,1,11,2,0,0C3B,5.1,40,869154040260940,f98683d,0,-72,-86,29,21401,0,N,41.643453,W,0.763152,2022-02-15T11:54:11Z,222,3,12,0.81,MTI1MDAxMTAyNDAwMDExMTAyMDAwMDBDM0I1MTA0MDg2OTE1NDA0MDI2MDk0MGY5ODY4M2QwIC03MiAtODYgIDI5IDIxNDAxMDAwMDBONDEuNjQzNDUzVzAwMC43NjMxNTIyMDIyMDIxNTExNTQxMTAyMjIwMzEyMDAuODE=,37932,2022-02-15T11:55:36Z,0,,-0.763152,41.643453,B,LC76F,1,ffffaa00
125,1,1,23,1,11,2,0,0C3B,5.2,39,869154040260940,f98683d,0,-72,-86,28,21401,0,N,41.643453,W,0.763152,2022-02-15T11:52:31Z,222,3,12,0.81,MTI1MDAxMTAyMzAwMDExMTAyMDAwMDBDM0I1MjAzOTg2OTE1NDA0MDI2MDk0MGY5ODY4M2QwIC03MiAtODYgIDI4IDIxNDAxMDAwMDBONDEuNjQzNDUzVzAwMC43NjMxNTIyMDIyMDIxNTExNTIzMDAyMjIwMzEyMDAuODE=,37932,2022-02-15T11:53:57Z,0,,-0.763152,41.643453,B,LC76F,1,ffffaa00
125,1,1,22,1,11,2,0,0C3B,4.5,37,869154040260940,f98683d,0,-72,-86,29,21401,0,N,41.643453,W,0.763152,2022-02-15T11:50:50Z,222,3,12,0.81,MTI1MDAxMTAyMjAwMDExMTAyMDAwMDBDM0I0NTAzNzg2OTE1NDA0MDI2MDk0MGY5ODY4M2QwIC03MiAtODYgIDI5IDIxNDAxMDAwMDBONDEuNjQzNDUzVzAwMC43NjMxNTIyMDIyMDIxNTExNTA0OTAyMjIwMzEyMDAuODE=,37932,2022-02-15T11:52:15Z,0,,-0.763152,41.643453,B,LC76F,1,ffffaa00
