id,etiqueta,modulo,grupo,color
3141,H,LC76F,2,ffffaa00
3140,I,LC76F,2,ffffaa00
3139,C,LC76F,1,ffffaa00
3138,D,LC76F,3,ffffaa00
3137,J,LC76F,1,ffffaa00
3135,F,LC76F,3,ffffaa00
3134,A,LC76F,1,ffffaa00
3133,G,LC76F,2,ffffaa00
3132,E,LC76F,3,ffffaa00
3131,B,LC76F,1,ffffaa00
3166,A,L76LB,1,ff11ff00
3164,F,L76LB,3,ff11ff00
3158,E,L76LB,3,ff11ff00
3156,D,L76LB,3,ff11ff00
3154,B,L76LB,1,ff11ff00
3153,C,L76LB,1,ff11ff00
3145,J,L76L,1,ff11ff00
3144,G,L76LB,2,ff11ff00
3143,I,L76L,2,ff11ff00
3157,H,L76LB,2,ff11ff00
