eventLength,eventVersion,eventType,sequence,manufacturer,sw,hw,deviceMajorId,deviceMinorId,battery,wakeTime,imei,cellId,ecl,rssi,rsrp,rsrq,plmn,aux,ns,latitude,ew,longitude,gpsTimestamp,altitude,positionHorizontalError,satellites,hdop,rawEvent,incidenceId,eventDate,isDGTNotificated,manufacturerId,deviceId
77,1,2,1,1,10,2,0000,00DA,4.6,1,869154040070620,f98683d,0,-75,-85,29,21401,00000,,0,,0,,0,0,0,0,MDc3MDAxMjAwMTAwMDExMDAyMDAwMDAwREE0NjAwMTg2OTE1NDA0MDA3MDYyMGY5ODY4M2QwIC03NSAtODUgIDI5IDIxNDAxMDAwMDA=,37813,2022-02-04T06:46:50Z,0,,218
77,1,0,0,1,10,2,0000,00DA,4.7,0,869154040070620,f98683d,0,-75,-86,29,21401,00000,,0,,0,,0,0,0,0,MDc3MDAxMDAwMDAwMDExMDAyMDAwMDAwREE0NzAwMDg2OTE1NDA0MDA3MDYyMGY5ODY4M2QwIC03NSAtODYgIDI5IDIxNDAxMDAwMDA=,37813,2022-02-04T06:46:20Z,0,,218
77,1,0,0,1,10,2,0000,00DA,4.7,0,869154040070620,f98683d,0,-70,-84,25,21401,00000,,0,,0,,0,0,0,0,MDc3MDAxMDAwMDAwMDExMDAyMDAwMDAwREE0NzAwMDg2OTE1NDA0MDA3MDYyMGY5ODY4M2QwIC03MCAtODQgIDI1IDIxNDAxMDAwMDA=,37812,2022-02-03T15:11:41Z,0,,218
77,1,1,8,1,10,2,0000,0099,2.8,13,869154040182052,f98683d,0,-73,-95,13,21401,00000,,0,,0,,0,0,0,0,MDc3MDAxMTAwODAwMDExMDAyMDAwMDAwOTkyODAxMzg2OTE1NDA0MDE4MjA1MmY5ODY4M2QwIC03MyAtOTUgIDEzIDIxNDAxMDAwMDA=,37810,2022-02-03T12:41:39Z,0,,153
77,1,1,7,1,10,2,0000,0099,2.9,12,869154040182052,f98683d,0,-73,-94,15,21401,00000,,0,,0,,0,0,0,0,MDc3MDAxMTAwNzAwMDExMDAyMDAwMDAwOTkyOTAxMjg2OTE1NDA0MDE4MjA1MmY5ODY4M2QwIC03MyAtOTQgIDE1IDIxNDAxMDAwMDA=,37810,2022-02-03T12:40:09Z,0,,153
77,1,1,6,1,10,2,0000,0099,2.9,10,869154040182052,f98683d,0,-73,-94,14,21401,00000,,0,,0,,0,0,0,0,MDc3MDAxMTAwNjAwMDExMDAyMDAwMDAwOTkyOTAxMDg2OTE1NDA0MDE4MjA1MmY5ODY4M2QwIC03MyAtOTQgIDE0IDIxNDAxMDAwMDA=,37810,2022-02-03T12:38:37Z,0,,153
77,1,1,5,1,10,2,0000,0099,3,9,869154040182052,f98683d,0,-73,-94,15,21401,00000,,0,,0,,0,0,0,0,MDc3MDAxMTAwNTAwMDExMDAyMDAwMDAwOTkzMDAwOTg2OTE1NDA0MDE4MjA1MmY5ODY4M2QwIC03MyAtOTQgIDE1IDIxNDAxMDAwMDA=,37810,2022-02-03T12:37:07Z,0,,153
77,1,1,4,1,10,2,0000,0099,3.2,7,869154040182052,f98683d,0,-74,-93,17,21401,00000,,0,,0,,0,0,0,0,MDc3MDAxMTAwNDAwMDExMDAyMDAwMDAwOTkzMjAwNzg2OTE1NDA0MDE4MjA1MmY5ODY4M2QwIC03NCAtOTMgIDE3IDIxNDAxMDAwMDA=,37810,2022-02-03T12:35:36Z,0,,153
77,1,1,3,1,10,2,0000,0099,3.4,6,869154040182052,f98683d,0,-74,-92,20,21401,00000,,0,,0,,0,0,0,0,MDc3MDAxMTAwMzAwMDExMDAyMDAwMDAwOTkzNDAwNjg2OTE1NDA0MDE4MjA1MmY5ODY4M2QwIC03NCAtOTIgIDIwIDIxNDAxMDAwMDA=,37810,2022-02-03T12:34:05Z,0,,153
77,1,1,2,1,10,2,0000,0099,3.5,4,869154040182052,f98683d,0,-75,-91,21,21401,00000,,0,,0,,0,0,0,0,MDc3MDAxMTAwMjAwMDExMDAyMDAwMDAwOTkzNTAwNDg2OTE1NDA0MDE4MjA1MmY5ODY4M2QwIC03NSAtOTEgIDIxIDIxNDAxMDAwMDA=,37810,2022-02-03T12:32:35Z,0,,153
