eventLength;eventVersion;eventType;sequence;manufacturer;sw;hw;deviceMajorId;deviceMinorId;battery;wakeTime;imei;cellId;ecl;rssi;rsrp;rsrq;plmn;aux;ns;latitude;ew;longitude;gpsTimestamp;altitude;positionHorizontalError;satellites;hdop;rawEvent;incidenceId;eventDate;isDGTNotificated;manufacturerId;deviceId
125;1;1;79;1;10;2;0000;0C46;3.6;120;869154040260932;f98683d;0;-64;-76;28;21401;00000;N;41.643657;W;0.763255;2022-02-10T16:19:15Z;195;5;11;0.93;MTI1MDAxMTA3OTAwMDExMDAyMDAwMDBDNDYzNjEyMDg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NCAtNzYgIDI4IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE2MTkxNTAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:20:31Z;0;;3142
125;1;1;78;1;10;2;0000;0C46;4.1;118;869154040260932;f98683d;0;-64;-76;28;21401;00000;N;41.643657;W;0.763255;2022-02-10T16:17:44Z;195;5;11;0.93;MTI1MDAxMTA3ODAwMDExMDAyMDAwMDBDNDY0MTExODg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NCAtNzYgIDI4IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE2MTc0MzAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:19:01Z;0;;3142
125;1;1;77;1;10;2;0000;0C46;4.1;116;869154040260932;f98683d;0;-64;-76;28;21401;00000;N;41.643657;W;0.763255;2022-02-10T16:16:13Z;195;5;11;0.93;MTI1MDAxMTA3NzAwMDExMDAyMDAwMDBDNDY0MTExNjg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NCAtNzYgIDI4IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE2MTYxMzAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:17:30Z;0;;3142
125;1;1;76;1;10;2;0000;0C46;4.1;115;869154040260932;f98683d;0;-64;-77;27;21401;00000;N;41.643657;W;0.763255;2022-02-10T16:14:43Z;195;5;11;0.93;MTI1MDAxMTA3NjAwMDExMDAyMDAwMDBDNDY0MTExNTg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NCAtNzcgIDI3IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE2MTQ0MzAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:15:59Z;0;;3142
125;1;1;75;1;10;2;0000;0C46;4.2;113;869154040260932;f98683d;0;-65;-77;27;21401;00000;N;41.643657;W;0.763255;2022-02-10T16:13:13Z;195;5;11;0.93;MTI1MDAxMTA3NTAwMDExMDAyMDAwMDBDNDY0MjExMzg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzcgIDI3IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE2MTMxMjAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:14:29Z;0;;3142
125;1;1;74;1;10;2;0000;0C46;4.2;112;869154040260932;f98683d;0;-65;-77;27;21401;00000;N;41.643657;W;0.763255;2022-02-10T16:11:43Z;195;5;11;0.93;MTI1MDAxMTA3NDAwMDExMDAyMDAwMDBDNDY0MjExMjg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzcgIDI3IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE2MTE0MjAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:12:58Z;0;;3142
125;1;1;73;1;10;2;0000;0C46;4.2;110;869154040260932;f98683d;0;-65;-78;28;21401;00000;N;41.643657;W;0.763255;2022-02-10T16:10:11Z;195;5;11;0.93;MTI1MDAxMTA3MzAwMDExMDAyMDAwMDBDNDY0MjExMDg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI4IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE2MTAxMTAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:11:27Z;0;;3142
125;1;1;72;1;10;2;0000;0C46;4.2;109;869154040260932;f98683d;0;-65;-78;27;21401;00000;N;41.643657;W;0.763255;2022-02-10T16:08:41Z;195;5;11;0.93;MTI1MDAxMTA3MjAwMDExMDAyMDAwMDBDNDY0MjEwOTg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI3IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE2MDg0MDAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:09:57Z;0;;3142
125;1;1;71;1;10;2;0000;0C46;4.2;107;869154040260932;f98683d;0;-65;-78;28;21401;00000;N;41.643657;W;0.763255;2022-02-10T16:07:10Z;195;5;11;0.93;MTI1MDAxMTA3MTAwMDExMDAyMDAwMDBDNDY0MjEwNzg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI4IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE2MDcwOTAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:08:26Z;0;;3142
125;1;1;70;1;10;2;0000;0C46;4.2;106;869154040260932;f98683d;0;-65;-78;27;21401;00000;N;41.643657;W;0.763255;2022-02-10T16:05:39Z;195;5;11;0.93;MTI1MDAxMTA3MDAwMDExMDAyMDAwMDBDNDY0MjEwNjg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI3IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE2MDUzODAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:06:55Z;0;;3142
125;1;1;69;1;10;2;0000;0C46;4.2;104;869154040260932;f98683d;0;-65;-78;28;21401;00000;N;41.643657;W;0.763255;2022-02-10T16:04:08Z;195;5;11;0.93;MTI1MDAxMTA2OTAwMDExMDAyMDAwMDBDNDY0MjEwNDg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI4IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE2MDQwNzAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:05:25Z;0;;3142
125;1;1;68;1;10;2;0000;0C46;4.2;103;869154040260932;f98683d;0;-65;-78;28;21401;00000;N;41.643657;W;0.763255;2022-02-10T16:02:38Z;195;5;11;0.93;MTI1MDAxMTA2ODAwMDExMDAyMDAwMDBDNDY0MjEwMzg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI4IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE2MDIzNzAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:03:54Z;0;;3142
125;1;1;67;1;10;2;0000;0C46;4.3;101;869154040260932;f98683d;0;-65;-78;25;21401;00000;N;41.643657;W;0.763255;2022-02-10T16:01:07Z;195;5;11;0.93;MTI1MDAxMTA2NzAwMDExMDAyMDAwMDBDNDY0MzEwMTg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI1IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE2MDEwNjAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:02:23Z;0;;3142
125;1;1;66;1;10;2;0000;0C46;4.3;100;869154040260932;f98683d;0;-65;-78;25;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:59:37Z;195;5;11;0.93;MTI1MDAxMTA2NjAwMDExMDAyMDAwMDBDNDY0MzEwMDg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI1IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1NTkzNjAxOTUwNTExMDAuOTM=;37901;2022-02-10T16:00:52Z;0;;3142
125;1;1;65;1;10;2;0000;0C46;4.2;98;869154040260932;f98683d;0;-65;-78;25;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:58:06Z;195;5;11;0.93;MTI1MDAxMTA2NTAwMDExMDAyMDAwMDBDNDY0MjA5ODg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI1IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1NTgwNTAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:59:22Z;0;;3142
125;1;1;64;1;10;2;0000;0C46;4.2;97;869154040260932;f98683d;0;-65;-78;25;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:56:35Z;195;5;11;0.93;MTI1MDAxMTA2NDAwMDExMDAyMDAwMDBDNDY0MjA5Nzg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI1IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1NTYzNDAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:57:51Z;0;;3142
125;1;1;63;1;10;2;0000;0C46;3.7;95;869154040260932;f98683d;0;-65;-78;23;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:55:05Z;195;5;11;0.93;MTI1MDAxMTA2MzAwMDExMDAyMDAwMDBDNDYzNzA5NTg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDIzIDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1NTUwNDAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:56:20Z;0;;3142
125;1;1;62;1;10;2;0000;0C46;4.3;94;869154040260932;f98683d;0;-65;-78;25;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:53:34Z;195;5;11;0.93;MTI1MDAxMTA2MjAwMDExMDAyMDAwMDBDNDY0MzA5NDg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI1IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1NTMzMzAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:54:50Z;0;;3142
125;1;1;61;1;10;2;0000;0C46;4.3;92;869154040260932;f98683d;0;-65;-78;26;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:52:03Z;195;5;11;0.93;MTI1MDAxMTA2MTAwMDExMDAyMDAwMDBDNDY0MzA5Mjg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI2IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1NTIwMjAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:53:19Z;0;;3142
125;1;1;60;1;10;2;0000;0C46;4.3;91;869154040260932;f98683d;0;-65;-77;23;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:50:32Z;195;5;11;0.93;MTI1MDAxMTA2MDAwMDExMDAyMDAwMDBDNDY0MzA5MTg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzcgIDIzIDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1NTAzMTAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:51:48Z;0;;3142
125;1;1;59;1;10;2;0000;0C46;4.3;89;869154040260932;f98683d;0;-65;-77;22;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:49:02Z;195;5;11;0.93;MTI1MDAxMTA1OTAwMDExMDAyMDAwMDBDNDY0MzA4OTg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzcgIDIyIDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1NDkwMTAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:50:17Z;0;;3142
125;1;1;58;1;10;2;0000;0C46;4.4;88;869154040260932;f98683d;0;-65;-78;25;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:47:31Z;195;5;11;0.93;MTI1MDAxMTA1ODAwMDExMDAyMDAwMDBDNDY0NDA4ODg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI1IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1NDczMDAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:48:47Z;0;;3142
125;1;1;57;1;10;2;0000;0C46;4.4;86;869154040260932;f98683d;0;-65;-78;25;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:46:00Z;195;5;11;0.93;MTI1MDAxMTA1NzAwMDExMDAyMDAwMDBDNDY0NDA4Njg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI1IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1NDU1OTAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:47:16Z;0;;3142
125;1;1;56;1;10;2;0000;0C46;4.4;85;869154040260932;f98683d;0;-64;-78;22;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:44:30Z;195;5;11;0.93;MTI1MDAxMTA1NjAwMDExMDAyMDAwMDBDNDY0NDA4NTg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NCAtNzggIDIyIDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1NDQyOTAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:45:45Z;0;;3142
125;1;1;55;1;10;2;0000;0C46;4.4;83;869154040260932;f98683d;0;-65;-78;25;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:42:59Z;195;5;11;0.93;MTI1MDAxMTA1NTAwMDExMDAyMDAwMDBDNDY0NDA4Mzg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI1IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1NDI1ODAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:44:15Z;0;;3142
125;1;1;54;1;10;2;0000;0C46;4.4;82;869154040260932;f98683d;0;-65;-78;25;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:41:27Z;195;5;11;0.93;MTI1MDAxMTA1NDAwMDExMDAyMDAwMDBDNDY0NDA4Mjg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI1IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1NDEyNjAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:42:44Z;0;;3142
125;1;1;53;1;10;2;0000;0C46;4.4;80;869154040260932;f98683d;0;-65;-78;26;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:39:55Z;195;5;11;0.93;MTI1MDAxMTA1MzAwMDExMDAyMDAwMDBDNDY0NDA4MDg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI2IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1Mzk1NTAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:41:13Z;0;;3142
125;1;1;52;1;10;2;0000;0C46;3.8;79;869154040260932;f98683d;0;-65;-78;22;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:38:26Z;195;5;11;0.93;MTI1MDAxMTA1MjAwMDExMDAyMDAwMDBDNDYzODA3OTg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDIyIDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1MzgyNjAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:39:42Z;0;;3142
125;1;1;51;1;10;2;0000;0C46;4.5;77;869154040260932;f98683d;0;-65;-78;25;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:36:56Z;195;5;11;0.93;MTI1MDAxMTA1MTAwMDExMDAyMDAwMDBDNDY0NTA3Nzg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI1IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1MzY1NTAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:38:12Z;0;;3142
125;1;1;50;1;10;2;0000;0C46;4.5;76;869154040260932;f98683d;0;-65;-78;25;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:35:25Z;195;5;11;0.93;MTI1MDAxMTA1MDAwMDExMDAyMDAwMDBDNDY0NTA3Njg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzggIDI1IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1MzUyNDAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:36:41Z;0;;3142
125;1;1;49;1;10;2;0000;0C46;4.5;74;869154040260932;f98683d;0;-65;-77;23;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:33:53Z;195;5;11;0.93;MTI1MDAxMTA0OTAwMDExMDAyMDAwMDBDNDY0NTA3NDg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NSAtNzcgIDIzIDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1MzM1MzAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:35:10Z;0;;3142
125;1;1;48;1;10;2;0000;0C46;4.5;73;869154040260932;f98683d;0;-64;-77;23;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:32:24Z;195;5;11;0.93;MTI1MDAxMTA0ODAwMDExMDAyMDAwMDBDNDY0NTA3Mzg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NCAtNzcgIDIzIDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1MzIyMzAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:33:40Z;0;;3142
125;1;1;47;1;10;2;0000;0C46;4.5;71;869154040260932;f98683d;0;-64;-76;25;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:30:52Z;195;5;11;0.93;MTI1MDAxMTA0NzAwMDExMDAyMDAwMDBDNDY0NTA3MTg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NCAtNzYgIDI1IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1MzA1MjAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:32:09Z;0;;3142
125;1;1;46;1;10;2;0000;0C46;4.5;70;869154040260932;f98683d;0;-64;-76;26;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:29:21Z;195;5;11;0.93;MTI1MDAxMTA0NjAwMDExMDAyMDAwMDBDNDY0NTA3MDg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NCAtNzYgIDI2IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1MjkyMTAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:30:38Z;0;;3142
125;1;1;45;1;10;2;0000;0C46;4.5;68;869154040260932;f98683d;0;-64;-76;26;21401;00000;N;41.643657;W;0.763255;2022-02-10T15:27:50Z;195;5;11;0.93;MTI1MDAxMTA0NTAwMDExMDAyMDAwMDBDNDY0NTA2ODg2OTE1NDA0MDI2MDkzMmY5ODY4M2QwIC02NCAtNzYgIDI2IDIxNDAxMDAwMDBONDEuNjQzNjU3VzAwMC43NjMyNTUyMDIyMDIxMDE1Mjc1MDAxOTUwNTExMDAuOTM=;37901;2022-02-10T15:29:07Z;0;;3142
